01/03/2022,Check ,"Ask My Accountant,Merchant Income",-780.83,Check 
01/04/2022,Check ,"Ask My Accountant,Merchant Income",-141.0,Check 
01/04/2022,Check ,"Ask My Accountant,Merchant Income",-736.85,Check 
01/04/2022,Check ,"Ask My Accountant,Merchant Income",-1213.09,Check 
01/10/2022,Check ,"Ask My Accountant,Merchant Income",-1066.0,Check 
01/10/2022,Check ,"Ask My Accountant,Merchant Income",-346.21,Check 
01/13/2022,Check ,"Ask My Accountant,Merchant Income",-450.0,Check 
01/18/2022,Check ,"Ask My Accountant,Merchant Income",-445.0,Check 
01/18/2022,Check ,"Ask My Accountant,Merchant Income",-352.0,Check 
01/18/2022,Check ,"Ask My Accountant,Merchant Income",-100.0,Check 
01/18/2022,Check ,"Ask My Accountant,Merchant Income",-410.0,Check 
01/18/2022,Check ,"Ask My Accountant,Merchant Income",-105.75,Check 
01/18/2022,Check ,"Ask My Accountant,Merchant Income",-1240.83,Check 
01/19/2022,Check ,"Ask My Accountant,Merchant Income",-771.27,Check 
01/20/2022,Check ,"Ask My Accountant,Merchant Income",-197.0,Check 
01/20/2022,Check ,"Ask My Accountant,Merchant Income",-128.0,Check 
01/20/2022,Check ,"Ask My Accountant,Merchant Income",-670.24,Check 
01/21/2022,Check ,"Ask My Accountant,Merchant Income",-48.1,Check 
01/25/2022,Check ,"Ask My Accountant,Merchant Income",-441.71,Check 
01/31/2022,Check ,"Ask My Accountant,Merchant Income",-70.0,Check 
01/31/2022,Check ,"Ask My Accountant,Merchant Income",-42.1,Check 
01/31/2022,Check ,"Ask My Accountant,Merchant Income",-284.65,Check 
01/31/2022,Check ,"Ask My Accountant,Merchant Income",-97.38,Check 
02/02/2022,Check ,"Ask My Accountant,Merchant Income",-474.52,Check 
02/02/2022,Check ,"Ask My Accountant,Merchant Income",-1062.25,Check 
02/03/2022,Check ,"Ask My Accountant,Merchant Income",-929.11,Check 
02/04/2022,Check ,"Ask My Accountant,Merchant Income",-498.38,Check 
02/10/2022,Check ,"Ask My Accountant,Merchant Income",-1000.0,Check 
02/16/2022,Check ,"Ask My Accountant,Merchant Income",-641.16,Check 
02/16/2022,Check ,"Ask My Accountant,Merchant Income",-870.5,Check 
02/17/2022,Check ,"Ask My Accountant,Merchant Income",-1223.45,Check 
02/22/2022,Check ,"Ask My Accountant,Merchant Income",-305.18,Check 
03/01/2022,Check ,"Ask My Accountant,Merchant Income",-309.84,Check 
03/01/2022,Check ,"Ask My Accountant,Merchant Income",-425.32,Check 
03/02/2022,Check ,"Ask My Accountant,Merchant Income",-745.05,Check 
03/02/2022,Check ,"Ask My Accountant,Merchant Income",-1076.33,Check 
03/04/2022,Check ,"Ask My Accountant,Merchant Income",-220.0,Check 
03/11/2022,Check ,"Ask My Accountant,Merchant Income",-90.0,Check 
03/11/2022,Check ,"Ask My Accountant,Merchant Income",-660.0,Check 
03/14/2022,Check ,"Ask My Accountant,Merchant Income",-525.97,Check 
03/14/2022,Check ,"Ask My Accountant,Merchant Income",-34.0,Check 
03/15/2022,Check ,"Ask My Accountant,Merchant Income",-20.0,Check 
03/15/2022,Check ,"Ask My Accountant,Merchant Income",-1200.48,Check 
03/16/2022,Check ,"Ask My Accountant,Merchant Income",-629.46,Check 
03/18/2022,Check ,"Ask My Accountant,Merchant Income",-250.0,Check 
03/18/2022,Check ,"Ask My Accountant,Merchant Income",-420.0,Check 
03/23/2022,Check ,"Ask My Accountant,Merchant Income",-338.0,Check 
03/29/2022,Check ,"Ask My Accountant,Merchant Income",-250.0,Check 
03/29/2022,Check ,"Ask My Accountant,Merchant Income",-1169.84,Check 
04/04/2022,Check ,"Ask My Accountant,Merchant Income",-767.78,Check 
04/04/2022,Check ,"Ask My Accountant,Merchant Income",-88.97,Check 
04/07/2022,Check ,"Ask My Accountant,Merchant Income",-464.0,Check 
