Description,,Summary Amt.
Beginning balance as of 01/01/2022,,"219.48"
Total credits,,"116657.85"
Total debits,,"-108534.02"
Ending balance as of 12/31/2022,,"8343.31"

Date,Description,Amount,Running Bal.
01/01/2022,Beginning balance as of 01/01/2022,,"219.48"
01/03/2022,"Monthly Fee Business Adv Fundamentals","-16.00","203.48"
01/04/2022,"GUSTO DES:FEE 606868 ID:6semjqv0glq INDN:Double Play Bakery and CO ID:2453942850 CCD","-99.00","104.48"
01/06/2022,"IN *AQUATECH WATER SYST 01/05 PURCHASE 866-7807500 CA DEBIT CARD *2943","-25.00","79.48"
01/10/2022,"PARAMOUNT+ 01/09 PURCHASE 888-274-5343 CA DEBIT CARD *2943","-64.04","15.44"
01/18/2022,"RING YEARLY PLAN 01/17 PURCHASE HTTPSRING.COM CA DEBIT CARD *2943","-30.00","-14.56"
01/18/2022,"OVERDRAFT ITEM FEE FOR ACTIVITY OF 01-18 ELECTRONIC TRANSACTION POSTING DATE 01-18-22 POSTING SEQ 00001","-35.00","-49.56"
02/01/2022,"Monthly Fee Business Adv Fundamentals","-16.00","-65.56"
02/02/2022,"GUSTO DES:FEE 385446 ID:6semjr4jrsr INDN:Double Play Bakery and CO ID:2453942850 CCD","-99.00","-164.56"
02/02/2022,"NSF: RETURNED ITEM FEE FOR ACTIVITY OF 02-02 ELECTRONIC TRANSACTION POSTING DATE 02-02-22 POSTING SEQ 00001","-35.00","-199.56"
02/03/2022,"RETURN OF POSTED CHECK / ITEM (RECEIVED ON 02-02) ELECTRONIC TRANSACTION","99.00","-100.56"
02/07/2022,"PARAMOUNT+ 02/03 REFUND 8882745343 CA DEBIT CARD *2943","64.04","-36.52"
02/07/2022,"GUSTO DES:FEE 493207 ID:6semjr5j856 INDN:Double Play Bakery and CO ID:2453942850 CCD","-99.00","-135.52"
02/07/2022,"NSF: RETURNED ITEM FEE FOR ACTIVITY OF 02-07 ELECTRONIC TRANSACTION POSTING DATE 02-07-22 POSTING SEQ 00002","-35.00","-170.52"
02/08/2022,"RETURN OF POSTED CHECK / ITEM (RECEIVED ON 02-07) ELECTRONIC TRANSACTION","99.00","-71.52"
02/10/2022,"BKOFAMERICA ATM 02/10 #000002106 DEPOSIT NORTH HOLLYWOOD NORTH HOLLYWO CA CKCD 4815890000722943","1140.00","1068.48"
02/14/2022,"IN *AQUATECH WATER SYST 02/11 PURCHASE 866-7807500 CA DEBIT CARD *2943","-25.00","1043.48"
02/14/2022,"PRESSED JUICERY, INC. 02/13 PURCHASE 310-883-2114 CA DEBIT CARD *2943","-10.00","1033.48"
02/15/2022,"SBAD TREAS 310 DES: MISC PAY ID:371898790273000 INDN:Double Play Bakery & P CO ID:9101036151 CCD PMT INFO:RMT*CT*3718987902 200 09145 F9345******* *\","89400.00","90433.48"
03/01/2022,"PRESSED JUICERY, INC. 02/28 PURCHASE 310-883-2114 CA DEBIT CARD *2943","-10.00","90423.48"
03/02/2022,"GUSTO DES:FEE 033537 ID:6semjr9pmr6 INDN:Double Play Bakery and CO ID:2453942850 CCD","-99.00","90324.48"
03/03/2022,"THE HOME DEPOT 6654 03/01 PURCHASE BURBANK CA DEBIT CARD *4717","-238.92","90085.56"
03/03/2022,"TST* Zankou Chicken - B 03/01 PURCHASE Burbank CA DEBIT CARD *4717","-35.89","90049.67"
03/04/2022,"THE HOME DEPOT #6654 03/02 PURCHASE BURBANK CA DEBIT CARD *4717","-181.82","89867.85"
03/04/2022,"HARBOR FREIGHT TOOLS293 03/03 PURCHASE BURBANK CA DEBIT CARD *4717","-287.45","89580.40"
03/07/2022,"THE HOME DEPOT 6654 03/04 PURCHASE BURBANK CA DEBIT CARD *4717","-465.26","89115.14"
03/07/2022,"IN *AQUATECH WATER SYST 03/05 PURCHASE 866-7807500 CA DEBIT CARD *2943","-25.00","89090.14"
03/08/2022,"AMZN MKTP US*1W9H49IA0 03/07 PURCHASE AMZN.COM/BILL WA DEBIT CARD *2943","-95.66","88994.48"
03/09/2022,"AMZN Mktp US*1W3UV3WU0 03/07 PURCHASE Amzn.com/bill WA DEBIT CARD *2943","-31.00","88963.48"
03/14/2022,"LA CITY PARKING METER 03/11 PURCHASE LOS ANGELES CA DEBIT CARD *2943","-0.75","88962.73"
03/14/2022,"AMZN MKTP US*1W2MH7932 03/11 PURCHASE AMZN.COM/BILL WA DEBIT CARD *2943","-16.41","88946.32"
03/15/2022,"AMZN MKTP US*1Z1XZ7J12 03/14 PURCHASE AMZN.COM/BILL WA DEBIT CARD *2943","-110.57","88835.75"
03/16/2022,"AMAZON.COM*1N29D6401 AM 03/15 PURCHASE AMZN.COM/BILL WA DEBIT CARD *2943","-40.71","88795.04"
03/21/2022,"AMZN MKTP US*1N8SD8BK1 03/18 PURCHASE AMZN.COM/BILL WA DEBIT CARD *2943","-15.31","88779.73"
03/21/2022,"AMZN MKTP US*1Z9RV2RG2 03/19 PURCHASE AMZN.COM/BILL WA DEBIT CARD *2943","-34.49","88745.24"
03/21/2022,"AMZN Mktp US*1N7CL0S51 03/19 PURCHASE Amzn.com/bill WA DEBIT CARD *2943","-63.27","88681.97"
03/30/2022,"AMZN MKTP US*1H4OR9C41 03/29 PURCHASE AMZN.COM/BILL WA DEBIT CARD *2943","-77.54","88604.43"
03/30/2022,"AMZN MKTP US*165ON6V50 03/29 PURCHASE AMZN.COM/BILL WA DEBIT CARD *2943","-17.47","88586.96"
03/31/2022,"PRESSED JUICERY, INC. 03/30 PURCHASE 310-883-2114 CA DEBIT CARD *2943","-10.00","88576.96"
04/01/2022,"AMZN MKTP US*166EY5V22 03/31 PURCHASE AMZN.COM/BILL WA DEBIT CARD *2943","-29.99","88546.97"
04/01/2022,"AMZN MKTP US*165877V82 03/31 PURCHASE AMZN.COM/BILL WA DEBIT CARD *2943","-6.56","88540.41"
04/04/2022,"AMZN MKTP US AMZN.COM/B 04/02 REFUND AMZN.COM/BILL WA DEBIT CARD *2943","28.46","88568.87"
04/04/2022,"AMZN MKTP US*1H0RT20F1 04/01 PURCHASE AMZN.COM/BILL WA DEBIT CARD *2943","-31.20","88537.67"
04/04/2022,"AMZN MKTP US*168VG7YR0 04/01 PURCHASE AMZN.COM/BILL WA DEBIT CARD *2943","-27.32","88510.35"
04/04/2022,"AMZN MKTP US*164FB1BA2 04/01 PURCHASE AMZN.COM/BILL WA DEBIT CARD *2943","-5.41","88504.94"
04/04/2022,"Check 1114","-8000.00","80504.94"
04/04/2022,"GUSTO DES:FEE 874606 ID:6semjrfqr1j INDN:Double Play Bakery and CO ID:2453942850 CCD","-99.00","80405.94"
04/05/2022,"AMZN MKTP US*1H61L7KQ1 04/04 PURCHASE AMZN.COM/BILL WA DEBIT CARD *2943","-85.19","80320.75"
04/06/2022,"IN *AQUATECH WATER SYST 04/05 PURCHASE 866-7807500 CA DEBIT CARD *2943","-25.00","80295.75"
04/08/2022,"AMZN MKTP US*1H55A4QF0 04/06 PURCHASE AMZN.COM/BILL WA DEBIT CARD *2943","-33.78","80261.97"
04/13/2022,"AMZN MKTP US*1A68O4NQ0 04/12 PURCHASE AMZN.COM/BILL WA DEBIT CARD *2943","-68.50","80193.47"
04/13/2022,"AMAZON.COM*1A2GI6CS2 AM 04/12 PURCHASE AMZN.COM/BILL WA DEBIT CARD *2943","-105.07","80088.40"
04/14/2022,"RALPHS #0 1090 04/14 PURCHASE NORTH HOLLYWO CA DEBIT CARD *2943","-41.96","80046.44"
