Description,,Summary Amt.
Beginning balance as of 01/01/2022,,"80801.62"
Total credits,,"382288.88"
Total debits,,"-441050.54"
Ending balance as of 12/31/2022,,"22039.96"

Date,Description,Amount,Running Bal.
01/01/2022,Beginning balance as of 01/01/2022,,"80801.62"
01/03/2022,"ADYEN FBO DES:EDI PYMNTS ID:TX10994252700XT INDN:PORTER RANCH SUBWAY IN CO ID:WFBADYENA1 CCD PMT INFO:REF*TN*TX10994252700XT\NTE*INV*SW US 846 38 ZBYPFP676,txid\","1167.54","81969.16"
01/03/2022,"ADYEN INC DES:TWBAJJCAFB ID:TX10994253301XT INDN:PORTER RANCH SUBWAY IN CO ID:1263863381 CCD PMT INFO:TRN*1*TX10994253301XT**TX10994253301XT\R MR*IK*SW US 84638 ZBYPFP675,TX109942\","76.82","82045.98"
01/03/2022,"Online Banking transfer to CHK 3682 Confirmation# 2224377823","-1000.00","81045.98"
01/03/2022,"Check 10788","-780.83","80265.15"
01/03/2022,"PR07 DES:Payroll ID:PR07 INDN:ABACUS-PAYROLL TAX CO ID:1262125540 CCD","-1196.92","79068.23"
01/03/2022,"PR07 DES:Payroll ID:PR07 INDN:DIRECT DEPOSIT CO ID:1262125540 CCD","-1004.84","78063.39"
01/03/2022,"DOCTORSASSOCINC DES:ROYALTIES ID:22999S INDN:Anet Kesisoglu CO ID:5160847134 CCD","-423.35","77640.04"
01/03/2022,"DTT, INC DES:SERVICES ID:2648877 INDN:ANET KESISOGLY CO ID:5330903620 CCD","-121.19","77518.85"
01/03/2022,"PR07 DES:Payroll ID:PR07 INDN:BILLING CO ID:1262125540 CCD","-40.00","77478.85"
01/04/2022,"ADYEN FBO DES:EDI PYMNTS ID:TX11045213500XT INDN:PORTER RANCH SUBWAY IN CO ID:WFBADYENA1 CCD PMT INFO:REF*TN*TX11045213500XT\NTE*INV*SW US 846 38 ZBYPFP678,txid\","815.25","78294.10"
01/04/2022,"UBER USA 6787 DES:EDI PAYMNT ID:I4UJTYHX9800KJH INDN:anet kesisoglu CO ID:3320456349 CCD PMT INFO:REF*TN*I4UJTYHX98*Store ID:22999-093286\","93.22","78387.32"
01/04/2022,"ADYEN INC DES:TWBBAECHBI ID:TX11045213601XT INDN:PORTER RANCH SUBWAY IN CO ID:1263863381 CCD PMT INFO:TRN*1*TX11045213601XT**TX11045213601XT\R MR*IK*SW US 84638 ZBYPFP677,TX110452\","31.09","78418.41"
01/04/2022,"Check 3064","-141.00","78277.41"
01/04/2022,"Check 10787","-736.85","77540.56"
01/04/2022,"Check 10789","-1213.09","76327.47"
01/04/2022,"SFAFT OPERATING DES:PREAUT PMT ID:22999S INDN:Anet Kesisoglu CO ID:9006352275 CCD","-237.81","76089.66"
01/05/2022,"ADYEN FBO DES:EDI PYMNTS ID:TX11098126400XT INDN:PORTER RANCH SUBWAY IN CO ID:WFBADYENA1 CCD PMT INFO:REF*TN*TX11098126400XT\NTE*INV*SW US 846 38 ZBYPFP679,txid\","872.79","76962.45"
01/05/2022,"Online Banking transfer from CHK 2900 Confirmation# 1140138705","500.00","77462.45"
01/05/2022,"PARKING CONCEPTS LOC 22 01/04 PURCHASE SAN PEDRO CA DEBIT CARD *3649","-100.00","77362.45"
01/05/2022,"CNA ACH DES:PREM-PYMT ID:3015379277 INDN:PORTER RANCH SUBWAY, I CO ID:9896553001 CCD","-231.50","77130.95"
